time,mc energy,min energy
1,500,9.99857016
51,500,9.926608376000535
101,500,9.854329472001059
151,500,9.783729832001569
201,500,9.708667308002118
251,500,9.63403278000266
301,500,9.561452424003187
351,500,9.487216076003726
401,500,9.41516880800425
451,500,9.343941172004767
501,500,9.268097196005318
551,500,9.195087024005849
601,500,9.121128856006385
651,500,9.04502342800694
701,500,8.970317264007482
751,500,8.897052184008015
801,500,8.822131112008558
851,500,8.748954396009092
901,500,8.672983876009646
951,500,8.599242436010185
1001,500,8.526312264010716
1051,500,8.45177446401126
1101,500,8.37355159201183
1151,500,8.302197412012351
1201,500,8.226625072012903
1251,500,8.150462916013456
1301,500,8.080269820013966
1351,500,8.010179996014474
1401,500,7.937934548014224
1451,500,7.862766932013831
1501,500,7.790926208013456
1551,500,7.717876036013075
1601,500,7.643449872012686
1651,500,7.567112808012288
1701,500,7.493108096011902
1751,500,7.421673916011529
1801,500,7.348050656011145
1851,500,7.27625175201077
1901,500,7.205057572010399
1951,500,7.131251040010014
2001,500,7.056721604009625
2051,500,6.985080880009251
2101,500,6.909556904008857
2151,500,6.837351456008481
2201,500,6.7654790960081055
2251,500,6.690566388007714
2301,500,6.619538752007344
2351,500,6.54589222000696
2401,500,6.471640964006572
2451,500,6.396928256006182
2501,500,6.32169736800579
2551,500,6.246291572005396
2601,500,6.171713772005007
2651,500,6.099921412004632
2701,500,6.026163244004247
2751,500,5.952436712003863
2801,500,5.8795316320034825
2851,500,5.805470192003096
2901,500,5.730001124002702
2951,500,5.657205860002322
3001,500,5.5859716800019505
3051,500,5.511912060001564
3101,500,5.441520784001197
3151,500,5.370253148000825
3201,500,5.300060052000458
3251,500,5.225227344000068
3301,500,5.150482999999678
3351,500,5.076693195999293
3401,500,5.002815027998907
3451,500,4.930011399998527
3501,500,4.852456523998122
3551,500,4.781548887997753
3601,500,4.704622007997351
3651,500,4.632311467996973
3701,500,4.557112215996581
3751,500,4.482757687996193
3801,500,4.4095009719958105
3851,500,4.3341519039954175
3901,500,4.260227191995032
3951,500,4.184821395994638
4001,500,4.114040303994269
4051,500,4.042367943993895
4101,499.82000000000016,3.9720799399937006
4151,499.3200000000006,3.900987211993768
4201,498.8200000000011,3.8250166919938393
4251,494.49677724369275,3.9857584142048377
4301,489.6174448990248,4.208569909968151
