sum_E,sigma_E,p_e,theta
L,L,L,L
L,L,M,M
L,L,H,H
L,M,L,VL
L,M,M,L
L,M,H,M
L,H,L,VVL
L,H,M,VL
L,H,H,L
M,L,L,M
M,L,M,H
M,L,H,VH
M,M,L,L
M,M,M,M
M,M,H,H
M,H,L,VL
M,H,M,L
M,H,H,M
H,L,L,H
H,L,M,VH
H,L,H,VVH
H,M,L,M
H,M,M,H
H,M,H,VH
H,H,L,L
H,H,M,M
H,H,H,H
